,Unnamed: 0,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan,Company
0,1,0.5962035784855362,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.5177024135394911,0.5962035784855362,0.5962035784855362,0.0,0.0,0.5962035784855362,0.5962035784855362,0.5962035784855362,0.5962035784855362,0.5962035784855362,0.5962035784855362,0.3050026207339387,0.0,0.0,0.0,0.0,0.5177024135394911,0.0,0.0,AADHAR HOUSING FINAN
1,2,0.3243063282685463,0.0,0.0,0.3243063282685463,0.0,0.0,0.0,0.0,0.0,0.28160543634648777,0.3243063282685463,0.3243063282685463,0.0,0.0,0.3243063282685463,0.0,0.0,0.0,0.3243063282685463,0.0,0.0,1.3243063282685463,0.0,0.3243063282685463,0.0,0.28160543634648777,0.0,0.0,AAMAADMIPARTY
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666316055818459,0.0,0.0,0.0,0.0,0.998042216848094,0.998042216848094,0.0,0.0,0.0,0.998042216848094,0.5105730705525502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aavas Financiers Lim
3,4,0.8434245995222778,0.0,0.0,0.38478619172147854,0.0,0.0,0.0,0.0,0.0,0.0,0.8434245995222778,0.0,0.0,0.0,0.4586384078007992,0.0,0.0,0.0,0.8434245995222778,0.38478619172147854,0.0,0.38478619172147854,0.0,0.0,0.0,0.7323722409053852,0.0,0.0,ABHIPRA CAPITAL LTD
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANDB 
5,6,0.2602040445791008,0.0,0.0,0.2602040445791008,0.0,0.0,0.0,0.0,0.0,0.22594339710862,0.2602040445791008,0.0,0.0,0.0,0.2602040445791008,0.2602040445791008,0.2602040445791008,0.2602040445791008,0.2602040445791008,0.2602040445791008,0.13311378593834064,0.2602040445791008,0.0,0.2602040445791008,0.2602040445791008,0.22594339710862,0.2602040445791008,0.0,BARB 
6,7,0.2798398207199578,0.0,0.0,0.2798398207199578,0.0,0.0,0.0,0.0,0.0,0.2429937622299851,0.2798398207199578,0.0,0.0,0.0,0.2798398207199578,0.2798398207199578,0.2798398207199578,0.0,0.2798398207199578,0.2798398207199578,0.14315895070960782,0.2798398207199578,0.0,0.2798398207199578,0.2798398207199578,0.2429937622299851,0.0,0.0,BKID 
7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40771492756023175,0.0,0.0,0.0,0.40771492756023175,0.0,0.20857661024796326,0.40771492756023175,0.0,0.40771492756023175,0.40771492756023175,0.35403175970560097,0.0,0.0,CITI 
8,9,0.33304281763617244,0.0,0.0,0.33304281763617244,0.0,0.0,0.0,0.0,0.0,0.0,0.33304281763617244,0.0,0.0,0.0,0.33304281763617244,0.0,0.33304281763617244,0.0,0.33304281763617244,0.0,0.17037625378511895,0.33304281763617244,0.0,0.33304281763617244,0.0,0.28919160622988754,0.0,0.0,CNRB 
9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CORP 
10,11,0.38478619172147854,0.0,0.0,0.9009087939165232,0.0,0.38478619172147854,0.0,0.0,0.0,0.3341220135861889,0.38478619172147854,0.0,0.0,0.0,0.9009087939165232,0.0,0.0,0.0,0.0,0.0,0.0,0.5161226021950446,0.0,0.38478619172147854,0.0,0.4481655704204053,0.0,0.0,DR FILE DTD 
11,12,0.3243063282685463,0.0,0.0,0.7829447360693454,0.0,0.3243063282685463,0.0,0.0,0.0,0.28160543634648777,0.3243063282685463,0.0,0.4586384078007992,0.0,0.7829447360693454,0.0,0.0,0.0,0.0,0.3243063282685463,0.0,0.3243063282685463,0.0,0.7829447360693454,0.0,0.6798556636656841,0.0,0.0,DR TPZ DT 
12,13,0.2671114307806618,0.0,0.0,0.2671114307806618,0.0,0.0,0.0,0.0,0.0,0.0,0.2671114307806618,0.2671114307806618,0.0,0.0,0.2671114307806618,0.2671114307806618,0.0,0.0,0.2671114307806618,0.2671114307806618,0.13664742942845376,0.2671114307806618,0.0,0.2671114307806618,0.2671114307806618,0.23194129889391474,0.2671114307806618,0.2671114307806618,HDFC 
13,14,0.3012962905632796,0.0,0.0,0.3012962905632796,0.0,0.0,0.0,0.0,0.0,0.0,0.3012962905632796,0.0,0.0,0.0,0.3012962905632796,0.3012962905632796,0.0,0.0,0.3012962905632796,0.3012962905632796,0.1541355361748201,0.3012962905632796,0.0,0.3012962905632796,0.3012962905632796,0.261625093246383,0.0,0.0,HSBC 
14,15,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,0.5773502691896257,0.0,0.0,0.0,0.0,IBKL 
15,16,0.2694868835088341,0.0,0.0,0.2694868835088341,0.0,0.0,0.0,0.0,0.0,0.2340039795872237,0.2694868835088341,0.0,0.0,0.0,0.2694868835088341,0.2694868835088341,0.0,0.0,0.2694868835088341,0.2694868835088341,0.1378626507616812,0.2694868835088341,0.0,0.2694868835088341,0.2694868835088341,0.2340039795872237,0.2694868835088341,0.2694868835088341,ICIC 
16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDIB 
17,18,0.3012962905632796,0.0,0.0,0.3012962905632796,0.0,0.0,0.0,0.0,0.0,0.0,0.3012962905632796,0.3012962905632796,0.0,0.0,0.3012962905632796,0.0,0.3012962905632796,0.0,0.3012962905632796,0.3012962905632796,0.1541355361748201,0.3012962905632796,0.0,0.3012962905632796,0.0,0.261625093246383,0.0,0.0,IOBA 
18,19,0.2914856323350768,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.25310618858624456,0.2914856323350768,0.0,0.0,0.0,0.2914856323350768,0.2914856323350768,0.0,0.0,0.2914856323350768,0.2914856323350768,0.1491166523929955,0.2914856323350768,0.0,0.2914856323350768,0.2914856323350768,0.25310618858624456,0.0,0.0,KKBK 
19,20,0.2884863774385113,0.0,0.0,0.0,0.0,0.2884863774385113,0.0,0.0,0.0,0.0,0.2884863774385113,0.0,0.0,0.0,0.2884863774385113,0.2884863774385113,0.2884863774385113,0.0,0.2884863774385113,0.2884863774385113,0.14758230970081432,0.2884863774385113,0.0,0.2884863774385113,0.2884863774385113,0.250501840751372,0.0,0.0,MAHB 
20,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORBC 
