,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan
66,1.5391447668859142,0.0,0.0,1.5391447668859142,0.0,0.0,0.0,0.0,0.0,0.0,1.5391447668859142,1.5391447668859142,0.0,0.0,1.5391447668859142,0.0,0.0,0.0,0.0,0.0,0.0,1.5391447668859142,0.0,0.0,0.0,1.3364880543447557,0.0,0.0
4,1.5391447668859142,0.0,0.0,1.5391447668859142,0.0,0.0,0.0,0.0,0.0,0.0,1.5391447668859142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5391447668859142,1.5391447668859142,0.0,1.5391447668859142,0.0,0.0,0.0,1.3364880543447557,0.0,0.0
58,0.0,0.0,0.0,1.1659425293403072,0.0,0.0,0.0,0.0,0.0,1.0124247543449783,1.1659425293403072,0.0,0.0,0.0,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,0.596466609571982,1.1659425293403072,0.0,1.1659425293403072,0.0,1.0124247543449783,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.8839442991640076,0.0,0.0,1.8839442991640076,0.0,0.0,0.0,0.0,0.0,1.6358883875347838,1.8839442991640076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6358883875347838,0.0,0.0
46,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7926622816816213,0.0,0.0
25,1.2051851622531184,0.0,0.0,1.2051851622531184,0.0,0.0,0.0,0.0,0.0,0.0,1.2051851622531184,0.0,0.0,0.0,1.2051851622531184,1.2051851622531184,0.0,0.0,1.2051851622531184,1.2051851622531184,0.6165421446992804,1.2051851622531184,0.0,1.2051851622531184,1.2051851622531184,1.046500372985532,0.0,0.0
9,1.3321712705446898,0.0,0.0,1.3321712705446898,0.0,0.0,0.0,0.0,0.0,0.0,1.3321712705446898,0.0,0.0,0.0,1.3321712705446898,0.0,1.3321712705446898,0.0,1.3321712705446898,0.0,0.6815050151404758,1.3321712705446898,0.0,1.3321712705446898,0.0,1.1567664249195502,0.0,0.0
18,1.1539455097540454,0.0,0.0,1.1539455097540454,0.0,0.0,0.0,0.0,0.0,0.0,1.1539455097540454,1.1539455097540454,0.0,0.0,1.1539455097540454,0.0,1.1539455097540454,0.0,1.1539455097540454,1.1539455097540454,0.5903292388032573,1.1539455097540454,0.0,1.1539455097540454,1.1539455097540454,1.002007363005488,0.0,0.0
1,1.1659425293403072,0.0,0.0,1.1659425293403072,0.0,0.0,0.0,0.0,0.0,1.0124247543449783,1.1659425293403072,1.1659425293403072,0.0,0.0,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,1.1659425293403072,0.596466609571982,0.0,0.0,0.0,0.0,1.0124247543449783,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,0.0,0.0,1.7926622816816213,0.0,0.0
47,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,2.0644904087801783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7926622816816213,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.630859710240927,0.0,0.0,0.0,1.630859710240927,0.0,0.8343064409918529,1.630859710240927,0.0,1.630859710240927,1.630859710240927,1.4161270388224039,0.0,0.0
71,0.0,0.0,0.0,1.8345536312031967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8345536312031967,0.0,0.0,1.8345536312031967,0.0,1.8345536312031967,0.0,1.5930009092767852,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.2051851622531184,0.0,0.0,1.2051851622531184,0.0,0.0,0.0,0.0,0.0,0.0,1.2051851622531184,0.0,0.0,0.0,1.2051851622531184,1.2051851622531184,0.0,0.0,1.2051851622531184,1.2051851622531184,0.6165421446992804,1.2051851622531184,0.0,1.2051851622531184,1.2051851622531184,1.046500372985532,0.0,0.0
23,1.5373580197521495,0.0,0.0,1.5373580197521495,0.0,0.0,0.0,0.0,0.0,1.3349365653283958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5373580197521495,0.0,0.7864733489554512,1.5373580197521495,0.0,1.5373580197521495,0.0,1.3349365653283958,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309401076758503,0.0,0.0,0.0,0.0,0.0,0.0,2.309401076758503,0.0,2.309401076758503,0.0,0.0,0.0,0.0
31,3.020266205951067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.622592618991739,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,0.0,2.8284271247461903,0.0,0.0,0.0,0.0
24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.309401076758503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.309401076758503,0.0,2.309401076758503,0.0,0.0,0.0,0.0
30,1.0408161783164032,0.0,0.0,1.0408161783164032,0.0,0.0,0.0,0.0,0.0,0.90377358843448,1.0408161783164032,0.0,1.0408161783164032,0.0,1.0408161783164032,1.0408161783164032,1.0408161783164032,0.0,1.0408161783164032,1.0408161783164032,0.5324551437533626,1.0408161783164032,0.0,1.0408161783164032,1.0408161783164032,0.90377358843448,1.0408161783164032,0.0
29,2.410338513885243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410338513885243,0.0,2.092973123803303,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0
